Country,Population,Numer of Starbucks,Starbucks per million inhabitants
United States,316128839,11851,37
China,1357380000,1462,1
Canada,35158304,1425,41
Japan,127338621,1052,8
United Kingdom,64097085,770,12
"Korea, Rep.",50219669,684,14
Mexico,122332399,423,3
Taiwan,23340000,316,14
Philippines,98393574,234,2
Turkey,74932641,213,3
Thailand,67010502,204,3
Malaysia,29716965,172,6
Indonesia,249865631,168,1
Germany,80621788,159,2
United Arab Emirates,9346129,106,11
Singapore,5399200,106,20
France,66028467,101,2
Brazil,200361925,85,0
Russian Federation,143499861,85,1
Spain,46647421,84,2
Argentina,41446246,73,2
Peru,30375603,73,2
Kuwait,3368572,70,21
Saudi Arabia,28828870,65,2
Chile,17619708,60,3
Switzerland,8081482,59,7
India,1252139596,53,0
Netherlands,16804224,45,3
Ireland,4595281,40,9
Poland,38530725,37,1
Greece,11032328,30,3
New Zealand,4470800,26,6
Australia,23130900,24,1
"Egypt, Arab Rep.",82056378,23,0
Puerto Rico,3615086,21,6
Lebanon,4467390,20,4
Czech Republic,10521468,18,2
Austria,8473786,17,2
Bahrain,1332171,17,13
Belgium,11195138,14,1
Qatar,2168673,13,6
Denmark,5613706,12,2
Norway,5084190,11,2
Vietnam,89708900,11,0
Romania,19963581,10,1
Jordan,6459000,10,2
Cyprus,1141166,9,8
Hungary,9897247,9,1
"Bahamas, The",377374,9,24
Portugal,10459806,8,1
"Hong Kong SAR, China",7187500,8,1
Sweden,9592552,6,1
Oman,3632444,6,2
Morocco,33008150,5,0
Bulgaria,7265115,5,1
El Salvador,6340454,5,1
Guatemala,15468203,4,0
Costa Rica,4872166,4,1
Aruba,102911,3,29
Finland,5439407,3,1
Colombia,48321405,2,0
Netherland Antilles,227049,2,9
Monaco,37831,1,26
